price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,manufacturer
5000,2009.0,jeep liberty,good,6.0,gas,137273.0,automatic,SUV,white,True,2019-02-19,14,jeep
11999,2017.0,toyota camry le,excellent,4.0,gas,35721.0,automatic,sedan,unknown,False,2018-09-13,25,toyota
9499,2015.0,nissan altima,like new,4.0,gas,51848.0,automatic,sedan,grey,False,2018-11-12,7,nissan
3890,2011.0,subaru outback,excellent,4.0,gas,300000.0,automatic,SUV,white,True,2018-12-25,31,subaru
9500,2008.0,toyota highlander,good,6.0,gas,149799.0,automatic,SUV,unknown,False,2018-06-04,121,toyota
14999,2015.0,dodge charger,good,6.0,gas,63037.0,automatic,sedan,unknown,False,2018-05-11,37,dodge
10499,2013.0,chrysler 300,good,6.0,gas,88042.0,automatic,sedan,unknown,False,2018-05-05,22,chrysler
7500,2005.0,toyota tacoma,good,6.0,gas,160000.0,automatic,pickup,unknown,False,2018-07-22,44,toyota
7999,2015.0,chrysler 200,good,4.0,gas,78285.5,automatic,sedan,unknown,False,2019-03-08,29,chrysler
8000,2009.0,ford f-150,good,8.0,gas,234000.0,automatic,truck,black,True,2019-03-31,1,ford
11499,2017.0,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,True,2019-01-12,36,chevrolet
11995,2017.0,nissan rogue,like new,4.0,gas,41000.0,automatic,SUV,silver,True,2018-09-20,21,nissan
34900,2013.0,mercedes-benz benze sprinter 2500,excellent,6.0,diesel,99840.0,automatic,van,black,False,2019-01-15,16,mercedes-benz
5100,2008.0,honda cr-v,excellent,4.0,gas,188000.0,automatic,SUV,red,True,2018-11-18,10,honda
4500,2004.0,jeep grand cherokee,good,6.0,gas,168821.0,automatic,SUV,unknown,True,2019-01-31,60,jeep
2400,2001.0,toyota camry,good,4.0,gas,277564.0,automatic,coupe,yellow,False,2018-05-27,51,toyota
11200,2015.0,dodge charger,excellent,6.0,gas,90302.0,automatic,sedan,black,True,2018-07-19,73,dodge
12500,2008.0,toyota 4runner,good,6.0,gas,141098.0,automatic,SUV,grey,False,2019-03-10,35,toyota
9500,2014.0,ford focus,excellent,4.0,diesel,46000.0,automatic,sedan,unknown,False,2018-10-09,24,ford
3200,2006.0,honda civic,excellent,4.0,gas,255390.0,automatic,sedan,blue,False,2018-10-18,23,honda
6200,2006.0,ford f-150,excellent,6.0,gas,69698.0,automatic,truck,custom,False,2018-05-03,50,ford
3800,2012.0,ford focus,good,4.0,gas,130323.0,automatic,sedan,black,False,2018-11-29,261,ford
3300,2011.0,kia soul,good,4.0,gas,188963.0,manual,SUV,black,False,2019-02-16,71,kia
10400,2012.0,chevrolet colorado,excellent,5.0,gas,111871.0,automatic,truck,red,True,2019-01-30,27,chevrolet
30300,2017.0,ford f150 supercrew cab xlt,good,6.0,gas,30339.0,automatic,pickup,brown,True,2018-07-15,14,ford
19700,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,unknown,False,2018-05-16,99,chevrolet
4200,2006.0,jeep grand cherokee,excellent,6.0,gas,150839.0,automatic,SUV,white,True,2018-07-01,79,jeep
4877,2012.0,chevrolet cruze,excellent,4.0,gas,163261.0,automatic,sedan,white,False,2019-04-18,21,chevrolet
3200,2004.0,bmw x5,excellent,6.0,gas,156640.0,automatic,SUV,black,True,2019-04-09,10,bmw
5200,2006.0,toyota highlander,good,6.0,gas,186000.0,automatic,SUV,green,False,2018-12-20,2,toyota
13000,2005.0,ram 1500,good,8.0,gas,146000.0,automatic,truck,grey,True,2019-03-14,26,ram
16999,2013.0,chevrolet silverado 1500,good,8.0,gas,137230.0,automatic,truck,white,True,2018-05-29,24,chevrolet
10499,2017.0,chevrolet cruze,good,4.0,gas,53601.0,automatic,sedan,black,False,2019-01-13,48,chevrolet
30000,1966.0,ford mustang,excellent,6.0,gas,51000.0,manual,convertible,red,False,2019-01-23,17,ford
15999,2017.0,chevrolet cruze,good,4.0,gas,17498.0,automatic,sedan,black,False,2018-11-07,54,chevrolet
12800,2011.0,ford f-150,excellent,6.0,gas,108500.0,automatic,pickup,white,False,2018-09-23,15,ford
14999,2013.0,chevrolet silverado 3500hd,good,8.0,gas,99840.0,automatic,truck,white,True,2018-05-09,22,chevrolet
14950,2012.0,ram 1500,excellent,8.0,gas,114773.0,automatic,truck,grey,True,2019-04-09,85,ram
6950,2013.0,nissan altima,excellent,4.0,gas,158786.0,automatic,sedan,unknown,False,2018-12-24,41,nissan
7800,2011.0,ford f-150,like new,8.0,gas,97510.0,automatic,truck,white,True,2019-02-20,39,ford
5500,2006.0,honda accord,good,4.0,gas,150839.0,automatic,sedan,silver,False,2018-11-27,15,honda
23300,2018.0,nissan frontier crew cab sv,good,6.0,gas,27493.0,other,pickup,unknown,True,2018-10-13,36,nissan
3650,2011.0,subaru impreza,excellent,4.0,gas,74000.0,automatic,sedan,blue,True,2018-08-07,60,subaru
1900,1994.0,jeep grand cherokee laredo,good,6.0,gas,207.0,automatic,SUV,grey,True,2018-07-27,9,jeep
9950,2008.0,toyota 4runner,excellent,6.0,gas,140000.0,automatic,SUV,silver,True,2018-06-08,53,toyota
6950,2005.0,chevrolet tahoe,excellent,8.0,gas,186021.0,automatic,SUV,unknown,True,2018-10-30,3,chevrolet
3000,2010.0,nissan versa,like new,4.0,gas,200412.0,automatic,hatchback,silver,False,2018-09-23,33,nissan
4200,2012.0,ford focus,like new,4.0,gas,144273.0,automatic,sedan,silver,False,2018-06-11,19,ford
23800,2019.0,nissan frontier crew cab sv,good,6.0,gas,10899.0,other,pickup,silver,True,2019-02-28,30,nissan
16500,2012.0,ford f-250 sd,good,8.0,gas,123262.0,automatic,truck,silver,True,2018-09-25,47,ford
26900,2014.0,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,unknown,True,2018-09-08,10,chevrolet
5900,2000.0,ford f250 super duty,good,8.0,diesel,202752.0,automatic,pickup,red,False,2018-07-08,32,ford
9950,2014.0,dodge charger,good,8.0,gas,102878.0,automatic,sedan,white,False,2018-06-02,28,dodge
11950,2008.0,chevrolet silverado,good,8.0,gas,170000.0,automatic,truck,black,True,2019-03-13,38,chevrolet
4995,2013.0,hyundai elantra,like new,4.0,gas,151223.0,automatic,sedan,custom,False,2018-09-15,1,hyundai
4826,2000.0,gmc yukon,like new,8.0,gas,226111.0,automatic,SUV,grey,True,2018-06-30,14,gmc
9599,2011.0,chevrolet camaro,good,6.0,gas,100680.0,manual,coupe,silver,False,2018-10-26,18,chevrolet
8499,2009.0,bmw x5,good,6.0,gas,104482.0,automatic,SUV,blue,True,2019-03-04,52,bmw
26000,2017.0,ford mustang gt coupe 2d,good,8.0,gas,41000.0,other,coupe,yellow,False,2018-11-26,31,ford
18800,2015.0,chevrolet camaro lt coupe 2d,good,6.0,gas,33926.0,other,coupe,grey,False,2019-01-16,152,chevrolet
18000,2010.0,ram 1500,good,8.0,gas,50500.0,automatic,truck,white,True,2018-06-16,11,ram
2800,2010.0,chevrolet colorado,good,5.0,gas,200800.0,automatic,pickup,unknown,False,2018-07-24,10,chevrolet
2950,2003.0,chevrolet silverado,good,8.0,gas,230000.0,automatic,pickup,unknown,False,2018-05-06,24,chevrolet
32000,2017.0,honda pilot,like new,6.0,gas,32104.0,automatic,SUV,white,False,2018-07-12,100,honda
8995,2012.0,toyota rav4,excellent,4.0,gas,124526.0,automatic,SUV,black,True,2018-12-14,24,toyota
9995,2017.0,hyundai sonata,excellent,4.0,gas,105985.0,automatic,sedan,white,False,2018-05-02,18,hyundai
24600,2013.0,ford mustang gt coupe 2d,good,8.0,gas,22474.0,other,coupe,white,False,2018-10-28,22,ford
6500,2012.0,ford fusion se,excellent,6.0,gas,90000.0,automatic,sedan,grey,False,2018-09-20,94,ford
3995,2008.0,subaru forester,excellent,4.0,gas,165000.0,automatic,SUV,white,True,2018-12-24,19,subaru
39950,2018.0,chevrolet silverado,excellent,8.0,gas,18500.0,automatic,truck,unknown,True,2018-08-05,16,chevrolet
26000,2015.0,chevrolet silverado 1500 crew,good,8.0,gas,92281.0,automatic,pickup,white,True,2019-04-02,82,chevrolet
18700,2017.0,nissan frontier crew cab sv,good,6.0,gas,40002.0,other,pickup,white,False,2018-06-01,44,nissan
10800,2015.0,chevrolet colorado,excellent,5.0,gas,114922.0,automatic,truck,red,True,2018-06-23,35,chevrolet
5500,2004.0,ford explorer,good,6.0,gas,140355.0,automatic,SUV,white,True,2018-09-10,35,ford
22900,2014.0,ford f150 supercrew cab xlt,good,6.0,gas,73711.0,automatic,pickup,white,True,2019-02-27,141,ford
26700,2015.0,ford f150 supercrew cab xlt,good,6.0,gas,48278.0,other,pickup,brown,True,2018-09-22,64,ford
21500,2019.0,nissan frontier crew cab sv,good,6.0,gas,16168.0,other,pickup,white,False,2019-03-29,70,nissan
19700,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,black,False,2019-03-11,33,chevrolet
24200,2018.0,chevrolet camaro lt coupe 2d,good,6.0,gas,20674.0,other,coupe,grey,False,2018-07-20,57,chevrolet
22800,2013.0,ford f-350 sd,good,8.0,diesel,207738.0,automatic,truck,brown,True,2018-11-08,62,ford
28400,2017.0,ford mustang gt coupe 2d,good,8.0,gas,6665.0,other,coupe,blue,False,2018-05-16,46,ford
29900,2018.0,ford mustang gt coupe 2d,good,8.0,gas,3827.0,automatic,coupe,yellow,False,2019-03-22,48,ford
22500,2019.0,nissan frontier crew cab sv,good,6.0,gas,24209.0,other,pickup,unknown,True,2019-03-03,73,nissan
24600,2014.0,chevrolet silverado 1500 crew,good,6.0,gas,85048.0,automatic,pickup,silver,True,2018-08-19,96,chevrolet
23700,2018.0,nissan frontier crew cab sv,good,6.0,gas,12901.0,other,pickup,black,True,2018-09-21,8,nissan
21900,2018.0,nissan frontier crew cab sv,good,6.0,gas,27576.0,other,pickup,unknown,True,2018-11-22,58,nissan
25300,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,3568.0,other,coupe,unknown,False,2018-06-16,34,chevrolet
4600,2012.0,nissan versa,good,4.0,gas,146000.0,automatic,sedan,unknown,False,2018-06-07,32,nissan
28900,2017.0,ford f150 supercrew cab xlt,good,6.0,gas,41000.0,automatic,pickup,white,True,2018-09-18,58,ford
14800,2016.0,kia sorento,like new,4.0,gas,53998.5,automatic,SUV,brown,False,2019-02-27,93,kia
33900,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,11315.0,other,pickup,white,True,2019-03-01,2,chevrolet
4800,2006.0,honda accord,like new,4.0,gas,195000.0,automatic,sedan,silver,False,2018-12-12,49,honda
4500,2012.0,chevrolet impala,excellent,6.0,gas,145000.0,automatic,sedan,white,False,2018-10-10,38,chevrolet
21595,2015.0,chevrolet silverado 1500,excellent,8.0,gas,92634.0,automatic,truck,black,True,2018-11-15,53,chevrolet
37000,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,30465.0,other,pickup,white,True,2019-01-13,55,chevrolet
22900,2019.0,nissan frontier crew cab sv,good,6.0,gas,14151.5,other,pickup,blue,True,2019-04-15,67,nissan
25900,2012.0,chevrolet silverado 1500 crew,good,8.0,other,110000.0,other,pickup,unknown,True,2018-08-31,44,chevrolet
10999,2010.0,ford edge,good,6.0,gas,98193.0,automatic,SUV,blue,True,2018-08-11,78,ford
2900,2000.0,nissan maxima,good,6.0,gas,170000.0,automatic,sedan,green,False,2018-09-23,12,nissan
2700,2005.0,chevrolet equinox,good,6.0,gas,150352.0,automatic,SUV,silver,False,2019-04-02,49,chevrolet
2900,2000.0,nissan maxima,good,6.0,gas,175000.0,automatic,sedan,green,False,2019-04-09,27,nissan
9500,2009.0,ford f-250,good,8.0,gas,189490.0,automatic,truck,white,True,2018-08-03,6,ford
4900,2011.0,nissan sentra,good,4.0,gas,116000.0,automatic,sedan,silver,False,2018-11-30,19,nissan
24000,2018.0,nissan frontier crew cab sv,good,6.0,gas,16295.0,other,pickup,blue,True,2018-05-26,30,nissan
18200,2012.0,nissan frontier crew cab sv,good,6.0,gas,110000.0,other,pickup,white,False,2018-09-19,30,nissan
28000,2016.0,ford mustang gt coupe 2d,good,8.0,gas,53998.5,other,coupe,black,False,2018-11-20,28,ford
24700,2015.0,ford mustang gt coupe 2d,good,8.0,gas,37270.0,other,coupe,black,False,2019-04-16,41,ford
26900,2014.0,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,black,True,2018-07-28,18,chevrolet
4500,2013.0,nissan altima,excellent,4.0,gas,140000.0,automatic,sedan,silver,False,2019-03-29,108,nissan
19500,2014.0,ford f150,excellent,8.0,gas,116000.0,automatic,truck,grey,True,2018-06-26,40,ford
2000,1993.0,ford f-150,good,8.0,gas,258225.0,automatic,truck,red,False,2019-03-06,34,ford
13995,2010.0,chevrolet silverado 1500,excellent,8.0,gas,151442.0,automatic,truck,silver,True,2018-12-20,72,chevrolet
39990,2015.0,chevrolet corvette,like new,8.0,gas,17340.0,manual,coupe,unknown,False,2018-07-14,38,chevrolet
11995,2012.0,chevrolet suburban,excellent,8.0,gas,158487.0,automatic,SUV,grey,True,2018-11-10,16,chevrolet
8995,2011.0,chevrolet silverado 1500,excellent,8.0,gas,119726.0,automatic,truck,grey,True,2019-03-18,27,chevrolet
15995,2013.0,jeep wrangler,excellent,6.0,gas,138806.0,automatic,SUV,black,True,2018-09-08,112,jeep
7995,2012.0,chevrolet cruze,excellent,4.0,gas,81559.0,automatic,sedan,black,False,2018-12-16,57,chevrolet
28250,2017.0,chevrolet silverado 1500,excellent,8.0,gas,13808.0,automatic,truck,white,True,2018-08-17,11,chevrolet
6995,2004.0,ford expedition,excellent,8.0,gas,92546.0,automatic,SUV,blue,True,2018-05-23,18,ford
13900,2016.0,dodge grand caravan,excellent,6.0,gas,62711.0,automatic,van,black,False,2019-04-11,37,dodge
28975,2017.0,chevrolet silverado 1500,excellent,8.0,gas,8354.0,automatic,truck,black,True,2019-01-07,13,chevrolet
14995,2011.0,jeep wrangler,excellent,6.0,gas,118371.0,automatic,SUV,orange,True,2019-01-25,49,jeep
25600,2017.0,ford mustang gt coupe 2d,good,8.0,gas,42957.0,other,coupe,unknown,False,2019-01-24,83,ford
12990,2011.0,ford expedition,good,8.0,gas,124775.0,automatic,SUV,custom,True,2018-06-11,50,ford
6300,2010.0,ford taurus,excellent,6.0,gas,155743.0,automatic,sedan,unknown,False,2018-11-01,30,ford
26400,2016.0,ford mustang gt coupe 2d,good,8.0,gas,16890.0,other,coupe,white,False,2018-05-15,10,ford
17300,2014.0,chevrolet camaro lt coupe 2d,good,6.0,gas,27915.0,other,coupe,red,False,2019-01-16,25,chevrolet
26700,2017.0,ford mustang gt coupe 2d,good,8.0,gas,26192.0,other,coupe,black,False,2019-02-14,17,ford
18975,2012.0,chevrolet silverado 1500,excellent,8.0,gas,24390.0,automatic,truck,white,False,2018-11-15,61,chevrolet
23300,2018.0,nissan frontier crew cab sv,good,6.0,gas,20674.0,other,pickup,grey,True,2018-07-24,73,nissan
31800,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,22838.0,automatic,pickup,white,True,2019-01-29,29,chevrolet
3995,1999.0,acura tl,good,6.0,gas,180000.0,automatic,sedan,black,False,2018-06-19,52,acura
18600,2012.0,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,False,2018-12-20,14,ford
21100,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,24510.0,other,coupe,red,False,2019-04-19,38,chevrolet
2500,2009.0,toyota camry,good,6.0,gas,150000.0,automatic,sedan,silver,False,2018-06-13,68,toyota
22000,2006.5,ford f350 super duty,good,8.0,diesel,163000.0,automatic,truck,unknown,True,2019-02-05,38,ford
3995,2001.0,ford ranger,good,6.0,gas,102000.0,automatic,truck,brown,False,2018-05-27,79,ford
3650,2012.0,kia soul,excellent,4.0,gas,110000.0,automatic,wagon,white,False,2018-07-11,50,kia
7975,2007.0,gmc sierra,excellent,8.0,gas,228409.0,automatic,truck,white,False,2018-10-27,15,gmc
9950,2008.0,toyota 4runner,excellent,6.0,gas,207348.0,automatic,SUV,unknown,True,2018-10-28,11,toyota
3595,2005.0,chevrolet impala,good,6.0,gas,147667.0,automatic,sedan,red,False,2018-11-12,30,chevrolet
9850,2008.0,chevrolet silverado 1500,good,8.0,gas,182225.0,automatic,truck,blue,True,2018-08-15,36,chevrolet
18600,2012.0,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,False,2018-07-31,59,ford
21100,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,24510.0,other,coupe,red,False,2019-03-29,1,chevrolet
5995,2006.0,ford ranger,good,6.0,gas,148600.0,automatic,truck,silver,True,2018-11-10,35,ford
6900,2011.0,subaru outback,excellent,6.0,gas,135445.0,automatic,SUV,unknown,True,2018-11-02,57,subaru
8995,2005.0,ram 1500,good,8.0,gas,153108.0,automatic,truck,grey,True,2019-03-10,33,ram
31400,2016.0,chevrolet silverado 1500 crew,good,8.0,gas,15070.0,automatic,pickup,black,True,2019-01-17,64,chevrolet
24200,2018.0,nissan frontier crew cab sv,good,6.0,gas,11034.0,other,pickup,blue,True,2018-06-29,9,nissan
10990,2006.0,chevrolet silverado 1500,good,8.0,gas,93726.0,automatic,truck,white,True,2018-05-17,19,chevrolet
15950,2015.0,honda cr-v,excellent,4.0,gas,78285.5,other,SUV,black,True,2018-09-22,12,honda
7500,1997.0,ford mustang,good,8.0,gas,185000.0,manual,coupe,white,False,2019-01-05,9,ford
11950,2003.0,jeep wrangler,excellent,6.0,gas,97211.0,automatic,SUV,custom,True,2018-08-01,15,jeep
16950,2010.0,jeep wrangler,excellent,6.0,gas,85490.0,other,SUV,red,True,2018-12-26,29,jeep
6800,2010.0,honda cr-v,excellent,4.0,gas,186000.0,automatic,SUV,grey,True,2018-12-22,25,honda
6500,2009.0,hyundai santa fe,good,6.0,gas,98000.0,manual,SUV,unknown,False,2019-03-18,27,hyundai
3000,2008.0,honda accord,good,6.0,gas,204000.0,automatic,coupe,blue,False,2018-05-18,21,honda
15000,2009.0,toyota tacoma,excellent,6.0,gas,221000.0,automatic,truck,black,True,2019-02-20,30,toyota
52000,2008.0,ford f350 super duty,good,8.0,diesel,117500.0,automatic,truck,grey,True,2018-06-27,24,ford
10950,2011.0,ford expedition,excellent,8.0,gas,130390.0,automatic,SUV,unknown,True,2018-12-23,33,ford
23000,2018.0,honda accord,like new,4.0,gas,15000.0,manual,sedan,unknown,False,2018-08-22,37,honda
3950,2009.0,subaru impreza,excellent,4.0,gas,137882.0,automatic,hatchback,silver,True,2018-08-22,19,subaru
5295,2005.0,ford f-150,good,8.0,gas,225000.0,automatic,pickup,white,True,2018-06-19,15,ford
6995,2009.0,ford ranger,good,4.0,gas,131565.0,automatic,pickup,white,False,2019-03-31,130,ford
8999,2013.0,ford escape,excellent,4.0,gas,122964.0,automatic,wagon,unknown,True,2018-06-03,31,ford
5999,2012.0,nissan versa,excellent,4.0,gas,76737.0,automatic,sedan,silver,False,2018-07-31,3,nissan
10997,2014.0,ford escape,excellent,4.0,gas,90000.0,automatic,wagon,unknown,True,2018-11-17,10,ford
10000,2006.0,ford f-150,excellent,8.0,gas,181000.0,automatic,truck,silver,True,2018-07-17,9,ford
17999,2008.0,gmc sierra 2500hd,excellent,8.0,diesel,101959.0,automatic,truck,white,True,2018-05-06,46,gmc
8499,2015.0,nissan rogue,excellent,4.0,gas,123360.0,automatic,wagon,blue,True,2019-03-28,28,nissan
7999,2012.0,nissan rogue,excellent,4.0,gas,93496.0,automatic,wagon,black,False,2018-10-15,29,nissan
15900,2012.0,ford escape,excellent,4.0,gas,19764.0,automatic,SUV,black,True,2018-07-03,32,ford
28200,2012.0,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,True,2018-07-15,30,ford
2000,2002.0,honda civic lx,good,4.0,gas,216875.0,automatic,coupe,red,False,2018-05-21,47,honda
22914,2015.0,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,True,2018-08-11,19,bmw
19900,2013.0,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,True,2018-10-30,42,ford
34900,2017.0,ford f-250 sd,excellent,8.0,gas,41000.0,automatic,truck,white,True,2018-11-12,13,ford
24495,2016.0,ford explorer,excellent,6.0,gas,50123.0,automatic,SUV,white,True,2018-11-17,49,ford
5300,2010.0,dodge charger,good,8.0,gas,156000.0,automatic,sedan,white,False,2018-07-04,43,dodge
22900,2015.0,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,custom,True,2018-05-15,24,gmc
14685,2011.0,toyota tacoma,excellent,6.0,gas,145671.0,automatic,truck,black,True,2019-01-03,8,toyota
24869,2015.0,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,True,2019-03-20,23,gmc
5995,2006.0,honda odyssey,excellent,6.0,gas,150839.0,automatic,van,red,False,2019-04-10,33,honda
4999,2005.0,toyota camry le,excellent,4.0,gas,105000.0,automatic,sedan,silver,False,2019-03-01,60,toyota
7800,2012.0,chevrolet traverse,good,6.0,gas,157000.0,automatic,SUV,blue,True,2018-11-30,4,chevrolet
12500,2009.0,cadillac escalade,excellent,8.0,gas,159000.0,automatic,SUV,unknown,True,2018-10-01,26,cadillac
4975,2007.0,honda odyssey,excellent,6.0,gas,205000.0,automatic,mini-van,brown,False,2018-10-28,35,honda
2795,2003.0,volkswagen jetta,good,4.0,gas,178950.0,manual,sedan,unknown,False,2018-05-20,98,volkswagen
500,2004.0,toyota corolla,like new,4.0,gas,156640.0,automatic,sedan,blue,False,2018-09-17,24,toyota
2800,2006.0,ford escape,excellent,6.0,gas,150839.0,automatic,SUV,white,False,2018-05-11,5,ford
41800,2018.0,chevrolet silverado 3500hd,good,8.0,gas,148459.0,automatic,truck,unknown,True,2019-03-19,11,chevrolet
10800,2015.0,toyota camry,excellent,4.0,gas,28150.0,automatic,sedan,black,True,2018-09-25,24,toyota
2750,2006.0,honda civic lx,good,4.0,gas,200.0,manual,sedan,black,False,2018-07-06,41,honda
7995,2008.0,jeep grand cherokee,excellent,6.0,gas,104613.0,automatic,SUV,silver,True,2018-05-23,23,jeep
22500,2013.0,ford f-250 sd,good,8.0,gas,128415.0,automatic,truck,green,True,2019-03-03,32,ford
9995,2013.0,chrysler town & country,excellent,6.0,gas,81999.0,automatic,van,unknown,False,2019-01-07,71,chrysler
6995,2005.0,honda accord,like new,6.0,gas,45429.0,automatic,sedan,grey,False,2018-11-04,53,honda
11795,2015.0,toyota tacoma,excellent,4.0,gas,111048.0,automatic,truck,white,False,2018-09-30,30,toyota
8795,2014.0,honda civic,excellent,4.0,gas,85452.0,automatic,sedan,grey,False,2018-09-11,164,honda
6995,2011.0,hyundai sonata,excellent,4.0,gas,117371.0,automatic,sedan,grey,True,2019-02-26,20,hyundai
6795,2013.0,volkswagen passat,excellent,5.0,gas,119453.0,automatic,sedan,red,False,2018-12-12,19,volkswagen
6795,2012.0,volkswagen jetta,excellent,5.0,gas,104310.0,automatic,sedan,white,False,2019-03-11,16,volkswagen
7995,2014.0,chevrolet cruze,excellent,4.0,gas,120052.0,automatic,sedan,blue,False,2018-10-27,27,chevrolet
25800,2015.0,toyota tacoma,like new,6.0,gas,49900.0,automatic,pickup,white,True,2018-07-24,39,toyota
8595,2010.0,toyota prius,excellent,4.0,gas,99630.0,automatic,hatchback,white,False,2019-02-05,44,toyota
8995,2010.0,toyota prius,excellent,4.0,gas,74138.0,automatic,hatchback,white,False,2018-07-09,38,toyota
7995,2010.0,honda accord,excellent,4.0,gas,90880.0,automatic,sedan,grey,False,2018-09-16,3,honda
7100,2004.0,ford f-150,good,8.0,gas,121000.0,automatic,truck,unknown,True,2019-03-10,23,ford
6995,2010.0,jeep liberty,excellent,6.0,gas,105771.0,automatic,SUV,brown,True,2019-02-05,19,jeep
4795,2007.0,nissan altima,excellent,4.0,gas,131020.0,automatic,sedan,grey,False,2018-10-19,31,nissan
6500,2009.0,ford f-250,good,8.0,gas,113000.0,automatic,pickup,white,True,2018-09-09,19,ford
22800,2013.0,ford f-350 sd,good,8.0,diesel,99840.0,automatic,truck,brown,True,2018-09-27,38,ford
1500,2001.0,jeep grand cherokee,good,6.0,gas,185000.0,automatic,SUV,black,True,2018-10-15,56,jeep
